iso_code,continent,location,datetime,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
IND,Asia,India,2020-01-30,1393409033,1,1,,,,,0.001,0.001,,,,
IND,Asia,India,2020-01-31,1393409033,1,0,,,,,0.001,0,,,,
IND,Asia,India,2020-02-01,1393409033,1,0,,,,,0.001,0,,,,
IND,Asia,India,2020-02-02,1393409033,2,1,,,,,0.001,0.001,,,,
IND,Asia,India,2020-02-03,1393409033,3,1,,,,,0.002,0.001,,,,
IND,Asia,India,2020-02-04,1393409033,3,0,0.429,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-05,1393409033,3,0,0.429,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-06,1393409033,3,0,0.286,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-07,1393409033,3,0,0.286,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-08,1393409033,3,0,0.286,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-09,1393409033,3,0,0.143,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-10,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-11,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-12,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-13,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-14,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-15,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-16,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-17,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-18,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-19,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-20,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-21,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-22,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-23,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-24,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-25,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-26,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-27,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-28,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-02-29,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-03-01,1393409033,3,0,0,,,0,0.002,0,0,,,0
IND,Asia,India,2020-03-02,1393409033,5,2,0.286,,,0,0.004,0.001,0,,,0
IND,Asia,India,2020-03-03,1393409033,5,0,0.286,,,0,0.004,0,0,,,0
IND,Asia,India,2020-03-04,1393409033,28,23,3.571,,,0,0.02,0.017,0.003,,,0
IND,Asia,India,2020-03-05,1393409033,30,2,3.857,,,0,0.022,0.001,0.003,,,0
IND,Asia,India,2020-03-06,1393409033,31,1,4,,,0,0.022,0.001,0.003,,,0
IND,Asia,India,2020-03-07,1393409033,34,3,4.429,,,0,0.024,0.002,0.003,,,0
IND,Asia,India,2020-03-08,1393409033,39,5,5.143,,,0,0.028,0.004,0.004,,,0
